id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
0303267,အိုင်ရဲဘွာလ် ကျေးရွာအုပ်စု,Airebual Village Tract,airebual-village-tract-0303267,0303267,0303267,,
0303002,ဗလိုင် ရပ်ကွက်,Balai Ward Quarter,balai-ward-quarter-0303002,0303002,0303002,,
0303277,ဘိုကျုံး ကျေးရွာအုပ်စု,Bocung Village Tract,bocung-village-tract-0303277,0303277,0303277,,
0303228,ဘွာလ်ခွာ ကျေးရွာအုပ်စု,Bualkhua Village Tract,bualkhua-village-tract-0303228,0303228,0303228,,
0303257,ဘွာလ်မင်း ကျေးရွာအုပ်စု,Bualmin Village Tract,bualmin-village-tract-0303257,0303257,0303257,,
0303210,စီဇာမွာလ် ကျေးရွာအုပ်စု,C. Zamual Village Tract,c-zamual-village-tract-0303210,0303210,0303210,,
0303285,ကျော့သဲ ကျေးရွာအုပ်စု,Cawhte Village Tract,cawhte-village-tract-0303285,0303285,0303285,,
0303218,ကျဲရ်မွန် ကျေးရွာအုပ်စု,Cerhmun Village Tract,cerhmun-village-tract-0303218,0303218,0303218,,
0303001,ကျင်မွာလ် ရပ်ကွက်,Cinmual Ward Quarter,cinmual-ward-quarter-0303001,0303001,0303001,,
0303280,ကြောင်ဟွေ့ ကျေးရွာအုပ်စု,Conghoih Village Tract,conghoih-village-tract-0303280,0303280,0303280,,
0303248,ကြောင်းကွာ ကျေးရွာအုပ်စု,Congkua Village Tract,congkua-village-tract-0303248,0303248,0303248,,
0303208,ကြောင်ထဲ ကျေးရွာအုပ်စု,Congthe Village Tract,congthe-village-tract-0303208,0303208,0303208,,
0303265,ဒါရ်သဲသီး ကျေးရွာအုပ်စု,Darteti Village Tract,darteti-village-tract-0303265,0303265,0303265,,
0303232,ဒုမန်း ကျေးရွာအုပ်စု,Duhmang Village Tract,duhmang-village-tract-0303232,0303232,0303232,,
0303230,ဖာရ်ခေါမ်း ကျေးရွာအုပ်စု,Farkhawm Village Tract,farkhawm-village-tract-0303230,0303230,0303230,,
0303224,လှောင်မွာလ် ကျေးရွာအုပ်စု,Hlawnmual Village Tract,hlawnmual-village-tract-0303224,0303224,0303224,,
0303271,မှောင်ကွန် ကျေးရွာအုပ်စု,Hmawngkawn Village Tract,hmawngkawn-village-tract-0303271,0303271,0303271,,
0303238,မွန်လီ ကျေးရွာအုပ်စု,Hmunli Village Tract,hmunli-village-tract-0303238,0303238,0303238,,
0303217,ဟရိန်နှန် ကျေးရွာအုပ်စု,Hrianghgnang Village Tract,hrianghgnang-village-tract-0303217,0303217,0303217,,
0303200,ကေဟိုင်မွာလ် ကျေးရွာအုပ်စု,K.Haimual Village Tract,khaimual-village-tract-0303200,0303200,0303200,,
0303245,ခိသမ်း ကျေးရွာအုပ်စု,Khitam Village Tract,khitam-village-tract-0303245,0303245,0303245,,
0303278,ခေါဒါရ် ကျေးရွာအုပ်စု,Khuadar Village Tract,khuadar-village-tract-0303278,0303278,0303278,,
0303235,ခေါ်လယ် ကျေးရွာအုပ်စု,Khualei Village Tract,khualei-village-tract-0303235,0303235,0303235,,
0303263,ခေါ်လုံး ကျေးရွာအုပ်စု,Khualung Village Tract,khualung-village-tract-0303263,0303263,0303263,,
0303225,ခွန်လီ ကျေးရွာအုပ်စု,Khuangli Village Tract,khuangli-village-tract-0303225,0303225,0303225,,
0303276,ခေါ်ပွာလ် ကျေးရွာအုပ်စု,Khuapual Village Tract,khuapual-village-tract-0303276,0303276,0303276,,
0303259,ခေါ်ဆွမ်း ကျေးရွာအုပ်စု,Khuasum Village Tract,khuasum-village-tract-0303259,0303259,0303259,,
0303284,ခေါ်ထီရ် ကျေးရွာအုပ်စု,Khuathlir Village Tract,khuathlir-village-tract-0303284,0303284,0303284,,
0303241,ခုမ်းဇိန်း ကျေးရွာအုပ်စု,Khumzing Village Tract,khumzing-village-tract-0303241,0303241,0303241,,
0303251,ခုပ်လဲင် ကျေးရွာအုပ်စု,Khupleng Village Tract,khupleng-village-tract-0303251,0303251,0303251,,
0303253,ကွန်ဒွန် ကျေးရွာအုပ်စု,Kundon Village Tract,kundon-village-tract-0303253,0303253,0303253,,
0303207,အဲလ်မွန်ပီး ကျေးရွာအုပ်စု,L. Hmunpi Village Tract,l-hmunpi-village-tract-0303207,0303207,0303207,,
0303215,အဲလ်ဇာမွာလ် ကျေးရွာအုပ်စု,L. Zamual Village Tract,l-zamual-village-tract-0303215,0303215,0303215,,
0303006,လိုင်လွန် ရပ်ကွက်,Lailun Ward Quarter,lailun-ward-quarter-0303006,0303006,0303006,,
0303275,လိုင်းဇောလ် ကျေးရွာအုပ်စု,Laizawl Village Tract,laizawl-village-tract-0303275,0303275,0303275,,
0303206,လိုင်ဇိုး ကျေးရွာအုပ်စု,Laizo Village Tract,laizo-village-tract-0303206,0303206,0303206,,
0303005,လိုင်ဇိုး ရပ်ကွက်,Laizo Ward Quarter,laizo-ward-quarter-0303005,0303005,0303005,,
0303236,လာသီး ကျေးရွာအုပ်စု,Lati Village Tract,lati-village-tract-0303236,0303236,0303236,,
0303203,လဲင်ဟိုင် ကျေးရွာအုပ်စု,Lenhai Village Tract,lenhai-village-tract-0303203,0303203,0303203,,
0303204,လဲင်သဲ ကျေးရွာအုပ်စု,Lente Village Tract,lente-village-tract-0303204,0303204,0303204,,
0303249,လျန်ရိ ကျေးရွာအုပ်စု,Lianrih Village Tract,lianrih-village-tract-0303249,0303249,0303249,,
0303239,လိုကြွမ်း ကျေးရွာအုပ်စု,Lochum Village Tract,lochum-village-tract-0303239,0303239,0303239,,
0303256,လိုဆာအို ကျေးရွာအုပ်စု,Losau Village Tract,losau-village-tract-0303256,0303256,0303256,,
0303233,လုံဘန်း ကျေးရွာအုပ်စု,Lumbang Village Tract,lumbang-village-tract-0303233,0303233,0303233,,
0303246,လုမ်သဲ ကျေးရွာအုပ်စု,Lumte Village Tract,lumte-village-tract-0303246,0303246,0303246,,
0303234,လုံးဟော့ ကျေးရွာအုပ်စု,Lunghawh Village Tract,lunghawh-village-tract-0303234,0303234,0303234,,
0303007,လုံပီး ရပ်ကွက်,Lungpi Ward Quarter,lungpi-ward-quarter-0303007,0303007,0303007,,
0303258,လွန်ခွာ ကျေးရွာအုပ်စု,Lunkhua Village Tract,lunkhua-village-tract-0303258,0303258,0303258,,
0303202,မန်ခင်း ကျေးရွာအုပ်စု,MangKheng Village Tract,mangkheng-village-tract-0303202,0303202,0303202,,
0303250,မူရန်း ကျေးရွာအုပ်စု,Murang Village Tract,murang-village-tract-0303250,0303250,0303250,,
0303266,ငါလ်သီး ကျေးရွာအုပ်စု,Ngalti Village Tract,ngalti-village-tract-0303266,0303266,0303266,,
0303227,ငါမွာလ် ကျေးရွာအုပ်စု,Ngamual Village Tract,ngamual-village-tract-0303227,0303227,0303227,,
