id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
0520228,အိုင်မရိုး ကျေးရွာအုပ်စု,Aing Ma Yoe Village Tract,aing-ma-yoe-village-tract-0520228,0520228,0520228,,
0520238,ဘောက်ခွေးတော ကျေးရွာအုပ်စု,Bauk Khway Taw Village Tract,bauk-khway-taw-village-tract-0520238,0520238,0520238,,
0520246,ဒဟတ္တန်း ကျေးရွာအုပ်စု,Da Hat Tan Village Tract,da-hat-tan-village-tract-0520246,0520246,0520246,,
0520233,အိမ်ကြီးတော ကျေးရွာအုပ်စု,Ein Gyi Taw Village Tract,ein-gyi-taw-village-tract-0520233,0520233,0520233,,
0520213,မှရိုး ကျေးရွာအုပ်စု,Hma Yoe Village Tract,hma-yoe-village-tract-0520213,0520213,0520213,,
0520237,နှောကန် ကျေးရွာအုပ်စု,Hnaw Kan Village Tract,hnaw-kan-village-tract-0520237,0520237,0520237,,
0520214,ဖက်ကုန်း ကျေးရွာအုပ်စု,Hpet Kone Village Tract,hpet-kone-village-tract-0520214,0520214,0520214,,
0520248,ဖျောက်ဆိတ်ကုန်း ကျေးရွာအုပ်စု,Hpyauk Seik Kone Village Tract,hpyauk-seik-kone-village-tract-0520248,0520248,0520248,,
0520205,ဖျောက်ဆိပ်ကျင်း ကျေးရွာအုပ်စု,Hpyauk Seik Kyin Village Tract,hpyauk-seik-kyin-village-tract-0520205,0520205,0520205,,
0520215,ထမ္မကြီး ကျေးရွာအုပ်စု,Htan Ma Gyi Village Tract,htan-ma-gyi-village-tract-0520215,0520215,0520215,,
0520212,ထန်းပင်ကန် ကျေးရွာအုပ်စု,Htan Pin Kan Village Tract,htan-pin-kan-village-tract-0520212,0520212,0520212,,
0520200,ထန်းတော ကျေးရွာအုပ်စု,Htan Taw Village Tract,htan-taw-village-tract-0520200,0520200,0520200,,
0520201,ကမ္ဘားဖြူ ကျေးရွာအုပ်စု,Kan Bar Hpyu Village Tract,kan-bar-hpyu-village-tract-0520201,0520201,0520201,,
0520219,ကံကြီး ကျေးရွာအုပ်စု,Kan Gyi Village Tract,kan-gyi-village-tract-0520219,0520219,0520219,,
0520208,ကံတွင်း ကျေးရွာအုပ်စု,Kan Twin Village Tract,kan-twin-village-tract-0520208,0520208,0520208,,
0520209,ကုန်းတဲ ကျေးရွာအုပ်စု,Kone Te Village Tract,kone-te-village-tract-0520209,0520209,0520209,,
0520220,ကူကြီး ကျေးရွာအုပ်စု,Ku Gyi Village Tract,ku-gyi-village-tract-0520220,0520220,0520220,,
0520244,ကြပ်ဆည် ကျေးရွာအုပ်စု,Kyat Se Village Tract,kyat-se-village-tract-0520244,0520244,0520244,,
0520207,ကျောက်တန်း ကျေးရွာအုပ်စု,Kyauk Tan Village Tract,kyauk-tan-village-tract-0520207,0520207,0520207,,
0520231,ကျွဲခြံ ကျေးရွာအုပ်စု,Kywe Chan Village Tract,kywe-chan-village-tract-0520231,0520231,0520231,,
0520247,လဲတော ကျေးရွာအုပ်စု,Le Taw Village Tract,le-taw-village-tract-0520247,0520247,0520247,,
0520251,လယ်ဗျား ကျေးရွာအုပ်စု,Lel Byar Village Tract,lel-byar-village-tract-0520251,0520251,0520251,,
0520210,လယ်ကြီး ကျေးရွာအုပ်စု,Lel Gyi Village Tract,lel-gyi-village-tract-0520210,0520210,0520210,,
0520240,လက်စွေ့ ကျေးရွာအုပ်စု,Let Swayt Village Tract,let-swayt-village-tract-0520240,0520240,0520240,,
0520241,မြောက်လည် ကျေးရွာအုပ်စု,Myauk Lel Village Tract,myauk-lel-village-tract-0520241,0520241,0520241,,
0520225,မြင်းတွင်း ကျေးရွာအုပ်စု,Myin Twin Village Tract,myin-twin-village-tract-0520225,0520225,0520225,,
0520206,မြင်းဦးလှည့် ကျေးရွာအုပ်စု,Myin U Hleit Village Tract,myin-u-hleit-village-tract-0520206,0520206,0520206,,
0520223,နတ်စဉ်ကုန်း ကျေးရွာအုပ်စု,Nat Sin Kone Village Tract,nat-sin-kone-village-tract-0520223,0520223,0520223,,
0520001,အမှတ် (၁) ရပ်ကွက်,No (1) Quarter,no-1-quarter-0520001,0520001,0520001,,
0520002,အမှတ် (၂) ရပ်ကွက်,No (2) Quarter,no-2-quarter-0520002,0520002,0520002,,
0520003,အမှတ် (၃) ရပ်ကွက်,No (3) Quarter,no-3-quarter-0520003,0520003,0520003,,
0520004,အမှတ် (၄) ရပ်ကွက်,No (4) Quarter,no-4-quarter-0520004,0520004,0520004,,
0520239,ညောင်အုပ် ကျေးရွာအုပ်စု,Nyaung Oke Village Tract,nyaung-oke-village-tract-0520239,0520239,0520239,,
0520243,အုပ်ကြီး ကျေးရွာအုပ်စု,Oke Gyi Village Tract,oke-gyi-village-tract-0520243,0520243,0520243,,
0520222,အုပ်ဖိုကန် ကျေးရွာအုပ်စု,Oke Hpo Kan Village Tract,oke-hpo-kan-village-tract-0520222,0520222,0520222,,
0520202,ပန်းအိုင် ကျေးရွာအုပ်စု,Pan Aing Village Tract,pan-aing-village-tract-0520202,0520202,0520202,,
0520236,ပျော်ဘွယ် ကျေးရွာအုပ်စု,Pyawbwe Village Tract,pyawbwe-village-tract-0520236,0520236,0520236,,
0520245,ဆည်တို ကျေးရွာအုပ်စု,Se To Village Tract,se-to-village-tract-0520245,0520245,0520245,,
0520226,ဆုံတွင်း ကျေးရွာအုပ်စု,Son Twin Village Tract,son-twin-village-tract-0520226,0520226,0520226,,
0520217,သဘွတ်ကုန်း ကျေးရွာအုပ်စု,Tha But Kone Village Tract,tha-but-kone-village-tract-0520217,0520217,0520217,,
0520230,သပြေပင် ကျေးရွာအုပ်စု,Tha Pyay Pin Village Tract,tha-pyay-pin-village-tract-0520230,0520230,0520230,,
0520234,သရက္ကောင်းပင် ကျေးရွာအုပ်စု,Tha Yet Kaung Pin Village Tract,tha-yet-kaung-pin-village-tract-0520234,0520234,0520234,,
0520227,သဲကန် ကျေးရွာအုပ်စု,Thea Kan Village Tract,thea-kan-village-tract-0520227,0520227,0520227,,
0520211,သိမ်ကုန်း ကျေးရွာအုပ်စု,Thein Kone Village Tract,thein-kone-village-tract-0520211,0520211,0520211,,
0520232,သက္ကယ်ကျင်း ကျေးရွာအုပ်စု,Thet Kei Kyin Village Tract,thet-kei-kyin-village-tract-0520232,0520232,0520232,,
0520235,သုံးတောင် ကျေးရွာအုပ်စု,Thone Taung Village Tract,thone-taung-village-tract-0520235,0520235,0520235,,
0520229,ဝမ္ဘဲလူး ကျေးရွာအုပ်စု,Wan Be Lu Village Tract,wan-be-lu-village-tract-0520229,0520229,0520229,,
0520224,ဝါးခွ ကျေးရွာအုပ်စု,War Khwa Village Tract,war-khwa-village-tract-0520224,0520224,0520224,,
0520249,ရေချိုဘူတာ ကျေးရွာအုပ်စု,Yae Cho Bu Tar Village Tract,yae-cho-bu-tar-village-tract-0520249,0520249,0520249,,
0520204,ရေထွက် ကျေးရွာအုပ်စု,Yae Htwet Village Tract,yae-htwet-village-tract-0520204,0520204,0520204,,
0520242,ရေငံ ကျေးရွာအုပ်စု,Yae Ngan Village Tract,yae-ngan-village-tract-0520242,0520242,0520242,,
0520203,ရေနီ ကျေးရွာအုပ်စု,Yae Ni Village Tract,yae-ni-village-tract-0520203,0520203,0520203,,
0520250,ယာကြီးကုန်း ကျေးရွာအုပ်စု,Yar Gyi Kone Village Tract,yar-gyi-kone-village-tract-0520250,0520250,0520250,,
0520218,ရုံးပင်ဇောက် ကျေးရွာအုပ်စု,Yone Pin Zauk Village Tract,yone-pin-zauk-village-tract-0520218,0520218,0520218,,
