id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
1210202,အဘော် ကျေးရွာအုပ်စု,Ah Baw Village Tract,ah-baw-village-tract-1210202,1210202,1210202,,
1210200,အစင် ကျေးရွာအုပ်စု,Ah Sin Village Tract,ah-sin-village-tract-1210200,1210200,1210200,,
1210211,အာယုတောင် ကျေးရွာအုပ်စု,Ahr Yu Taung Village Tract,ahr-yu-taung-village-tract-1210211,1210211,1210211,,
1210205,အံဒင် ကျေးရွာအုပ်စု,An Din Village Tract,an-din-village-tract-1210205,1210205,1210205,,
1210009,အောင်မင်္ဂလာ ရပ်ကွက်,Aung Min Ga Lar Quarter,aung-min-ga-lar-quarter-1210009,1210009,1210009,,
1210008,အောင်မေတ္တာ ရပ်ကွက်,Aung Myit Tar Quarter,aung-myit-tar-quarter-1210008,1210008,1210008,,
1210007,အောင်သုခ ရပ်ကွက်,Aung Thu Kha Quarter,aung-thu-kha-quarter-1210007,1210007,1210007,,
1210217,ဘေးလမိုင်း ကျေးရွာအုပ်စု,Bay La Maing Village Tract,bay-la-maing-village-tract-1210217,1210217,1210217,,
1210220,ဘဲလမု ကျေးရွာအုပ်စု,Be La Mu Village Tract,be-la-mu-village-tract-1210220,1210220,1210220,,
1210208,ချောင်းတောင် ကျေးရွာအုပ်စု,Chaung Taung Village Tract,chaung-taung-village-tract-1210208,1210208,1210208,,
1210214,ဒုံဖီ ကျေးရွာအုပ်စု,Don Hpi Village Tract,don-hpi-village-tract-1210214,1210214,1210214,,
1210209,ဒူးယား ကျေးရွာအုပ်စု,Du Yar Village Tract,du-yar-village-tract-1210209,1210209,1210209,,
1210212,ဟံဂံ ကျေးရွာအုပ်စု,Han Gan Village Tract,han-gan-village-tract-1210212,1210212,1210212,,
1210222,နှင်းစုံ ကျေးရွာအုပ်စု,Hnin Sone Village Tract,hnin-sone-village-tract-1210222,1210222,1210222,,
1210219,နှစ်ကရင် ကျေးရွာအုပ်စု,Hnit Kayin Village Tract,hnit-kayin-village-tract-1210219,1210219,1210219,,
1210226,ကဗျာ ကျေးရွာအုပ်စု,Ka Byar Village Tract,ka-byar-village-tract-1210226,1210226,1210226,,
1210206,ကလော့ ကျေးရွာအုပ်စု,Ka Lawt Village Tract,ka-lawt-village-tract-1210206,1210206,1210206,,
1210221,ကနင်ကမော့ ကျေးရွာအုပ်စု,Ka Nin Ka Mawt Village Tract,ka-nin-ka-mawt-village-tract-1210221,1210221,1210221,,
1210215,ကော့ဒွတ် ကျေးရွာအုပ်စု,Kawt Dut Village Tract,kawt-dut-village-tract-1210215,1210215,1210215,,
1210225,ကော့လှိုင် ကျေးရွာအုပ်စု,Kawt Hlaing Village Tract,kawt-hlaing-village-tract-1210225,1210225,1210225,,
1210224,ကိုးမိုင် ကျေးရွာအုပ်စု,Koe Maing Village Tract,koe-maing-village-tract-1210224,1210224,1210224,,
1210216,ကုလားကုတ် ကျေးရွာအုပ်စု,Ku Lar Koke Village Tract,ku-lar-koke-village-tract-1210216,1210216,1210216,,
1210207,ကျောက်မိကျောင်း ကျေးရွာအုပ်စု,Kyauk Mi Kyaung Village Tract,kyauk-mi-kyaung-village-tract-1210207,1210207,1210207,,
1210204,ကျောင်းရွာ ကျေးရွာအုပ်စု,Kyaung Ywar Village Tract,kyaung-ywar-village-tract-1210204,1210204,1210204,,
1210229,ကျုံညဲ ကျေးရွာအုပ်စု,Kyon Nye Village Tract,kyon-nye-village-tract-1210229,1210229,1210229,,
1210227,မကျီး ကျေးရွာအုပ်စု,Ma Gyi Village Tract,ma-gyi-village-tract-1210227,1210227,1210227,,
1210213,မော့ကနင် ကျေးရွာအုပ်စု,Mawt Ka Nin Village Tract,mawt-ka-nin-village-tract-1210213,1210213,1210213,,
1210223,တောင်ဘုံ ကျေးရွာအုပ်စု,Taung Bon Village Tract,taung-bon-village-tract-1210223,1210223,1210223,,
1210218,သောင်ပြင် ကျေးရွာအုပ်စု,Thaung Pyin Village Tract,thaung-pyin-village-tract-1210218,1210218,1210218,,
1210004,သီရိခေမာ ရပ်ကွက်,Thi Ri Khay Mar Quarter,thi-ri-khay-mar-quarter-1210004,1210004,1210004,,
1210002,သီရိမာလာ ရပ်ကွက်,Thi Ri Mar Lar Quarter,thi-ri-mar-lar-quarter-1210002,1210002,1210002,,
1210003,သီရိနန္ဒာ ရပ်ကွက်,Thi Ri Nan Dar Quarter,thi-ri-nan-dar-quarter-1210003,1210003,1210003,,
1210001,သီရိဇေယျာ ရပ်ကွက်,Thi Ri Zay Yar Quarter,thi-ri-zay-yar-quarter-1210001,1210001,1210001,,
1210210,သင်္ဃန်းကျွန်း ကျေးရွာအုပ်စု,Thin Gan Kyun Village Tract,thin-gan-kyun-village-tract-1210210,1210210,1210210,,
1210203,တူးမြောင်း ကျေးရွာအုပ်စု,Tu Myaung Village Tract,tu-myaung-village-tract-1210203,1210203,1210203,,
1210006,ရန်ကြီးအောင် ရပ်ကွက်,Yan Gyi Aung Quarter,yan-gyi-aung-quarter-1210006,1210006,1210006,,
1210005,ရန်မျိုးအောင် ရပ်ကွက်,Yan Myo Aung Quarter,yan-myo-aung-quarter-1210005,1210005,1210005,,
1210228,ရင်းရယ် ကျေးရွာအုပ်စု,Yin Yei Village Tract,yin-yei-village-tract-1210228,1210228,1210228,,
1210201,ဇီးဖြူသောင် ကျေးရွာအုပ်စု,Zee Hpyu Thaung Village Tract,zee-hpyu-thaung-village-tract-1210201,1210201,1210201,,
