id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
0705231,အထက်မြတ်လှဲ ကျေးရွာအုပ်စု,Ah Htet Myat Hle Village Tract,ah-htet-myat-hle-village-tract-0705231,0705231,0705231,,
0705200,အထက်သင်ပုန်းတန်း ကျေးရွာအုပ်စု,Ah Htet Thin Pone Tan Village Tract,ah-htet-thin-pone-tan-village-tract-0705200,0705200,0705200,,
0705273,အထုတ်သည် ကျေးရွာအုပ်စု,Ah Htoke Thei Village Tract,ah-htoke-thei-village-tract-0705273,0705273,0705273,,
0705277,အလယ်ချောင်း ကျေးရွာအုပ်စု,Ah Lel Chaung Village Tract,ah-lel-chaung-village-tract-0705277,0705277,0705277,,
0705271,အလယ်ကျွန်း ကျေးရွာအုပ်စု,Ah Lel Kyun Village Tract,ah-lel-kyun-village-tract-0705271,0705271,0705271,,
0705003,အလယ်စု ရပ်ကွက်,Ah Lel Su Quarter,ah-lel-su-quarter-0705003,0705003,0705003,,
0705263,အမဲခင် ကျေးရွာအုပ်စု,Ah Me Khin Village Tract,ah-me-khin-village-tract-0705263,0705263,0705263,,
0705284,အိုင်ဒင်ရွာသစ် ကျေးရွာအုပ်စု,Aing Din Ywar Thit Village Tract,aing-din-ywar-thit-village-tract-0705284,0705284,0705284,,
0705255,အောင်ဖြူပြင် ကျေးရွာအုပ်စု,Aung Hpyu Pyin Village Tract,aung-hpyu-pyin-village-tract-0705255,0705255,0705255,,
0705239,အောင်ဆိပ် ကျေးရွာအုပ်စု,Aung Seik Village Tract,aung-seik-village-tract-0705239,0705239,0705239,,
0705290,အောင်ဇေယျ ကျေးရွာအုပ်စု,Aung Zay Ya Village Tract,aung-zay-ya-village-tract-0705290,0705290,0705290,,
0705202,သြရမ ကျေးရွာအုပ်စု,Aw Ra Ma Village Tract,aw-ra-ma-village-tract-0705202,0705202,0705202,,
0705253,ခြင်္သေ့ ကျေးရွာအုပ်စု,Chin Thayt Village Tract,chin-thayt-village-tract-0705253,0705253,0705253,,
0705206,ဒါပ္ပ ကျေးရွာအုပ်စု,Dat Pa Village Tract,dat-pa-village-tract-0705206,0705206,0705206,,
0705264,ဒီပါရုံ ကျေးရွာအုပ်စု,Di Par Yon Village Tract,di-par-yon-village-tract-0705264,0705264,0705264,,
0705216,ဒိုးတန်း ကျေးရွာအုပ်စု,Doe Tan Village Tract,doe-tan-village-tract-0705216,0705216,0705216,,
0705230,ဂဏန်းတောင် ကျေးရွာအုပ်စု,Ga Nan Taung Village Tract,ga-nan-taung-village-tract-0705230,0705230,0705230,,
0705222,ဂန့်ဂါကြီး ကျေးရွာအုပ်စု,Gant Gar Gyi Village Tract,gant-gar-gyi-village-tract-0705222,0705222,0705222,,
0705210,ဂန့်ဂါ ကျေးရွာအုပ်စု,Gant Gar Village Tract,gant-gar-village-tract-0705210,0705210,0705210,,
0705241,ခွဆုံ ကျေးရွာအုပ်စု,Gwa Son Village Tract,gwa-son-village-tract-0705241,0705241,0705241,,
0705285,ငှက်ကြီးကျွန်း ကျေးရွာအုပ်စု,Hgnet Gyi Kyun Village Tract,hgnet-gyi-kyun-village-tract-0705285,0705285,0705285,,
0705226,မှိုဟင်းတော ကျေးရွာအုပ်စု,Hmo Hin Taw Village Tract,hmo-hin-taw-village-tract-0705226,0705226,0705226,,
0705252,ဘုရားကြီး ကျေးရွာအုပ်စု,Hpa Yar Gyi Village Tract,hpa-yar-gyi-village-tract-0705252,0705252,0705252,,
0705201,ဖါပွေ ကျေးရွာအုပ်စု,Hpar Pway Village Tract,hpar-pway-village-tract-0705201,0705201,0705201,,
0705224,ဖေါင်ဆိပ် ကျေးရွာအုပ်စု,Hpaung Seik Village Tract,hpaung-seik-village-tract-0705224,0705224,0705224,,
0705223,ထောင်လောင်းပွန်း ကျေးရွာအုပ်စု,Htaung Laung Pun Village Tract,htaung-laung-pun-village-tract-0705223,0705223,0705223,,
0705215,ကံဘူး ကျေးရွာအုပ်စု,Kan Bu Village Tract,kan-bu-village-tract-0705215,0705215,0705215,,
0705288,ကံချောင်း ကျေးရွာအုပ်စု,Kan Chaung Village Tract,kan-chaung-village-tract-0705288,0705288,0705288,,
0705279,ကံပြင် ကျေးရွာအုပ်စု,Kan Pyin Village Tract,kan-pyin-village-tract-0705279,0705279,0705279,,
0705220,ကံဦး ကျေးရွာအုပ်စု,Kan U Village Tract,kan-u-village-tract-0705220,0705220,0705220,,
0705236,ကာဒီ ကျေးရွာအုပ်စု,Kar Di Village Tract,kar-di-village-tract-0705236,0705236,0705236,,
0705291,ခမောင်းတော ကျေးရွာအုပ်စု,Kha Maung Taw Village Tract,kha-maung-taw-village-tract-0705291,0705291,0705291,,
0705221,ခမွေးကြိမ်ချောင်း ကျေးရွာအုပ်စု,Kha Mway Kyein Chaung Village Tract,kha-mway-kyein-chaung-village-tract-0705221,0705221,0705221,,
0705282,ကုန်တန်းကြိမ်ချောင်း ကျေးရွာအုပ်စု,Kon Tan Kyein Chaung Village Tract,kon-tan-kyein-chaung-village-tract-0705282,0705282,0705282,,
0705280,ကုလားချောင်း ကျေးရွာအုပ်စု,Ku Lar Chaung Village Tract,ku-lar-chaung-village-tract-0705280,0705280,0705280,,
0705283,ကွမ်းတောင် ကျေးရွာအုပ်စု,Kun Taung Village Tract,kun-taung-village-tract-0705283,0705283,0705283,,
0705250,ကြံခင်း ကျေးရွာအုပ်စု,Kyan Khin Village Tract,kyan-khin-village-tract-0705250,0705250,0705250,,
0705214,ကျောက်ပြင်ဆိပ် ကျေးရွာအုပ်စု,Kyauk Pyin Seik Village Tract,kyauk-pyin-seik-village-tract-0705214,0705214,0705214,,
0705258,ကျောက်ဆိပ် ကျေးရွာအုပ်စု,Kyauk Seik Village Tract,kyauk-seik-village-tract-0705258,0705258,0705258,,
0705242,ကြိမ်ချောင်း ကျေးရွာအုပ်စု,Kyein Chaung Village Tract,kyein-chaung-village-tract-0705242,0705242,0705242,,
0705275,ကြိန်ကျွန်း ကျေးရွာအုပ်စု,Kyein Kyun Village Tract,kyein-kyun-village-tract-0705275,0705275,0705275,,
0705211,ကြက်စင်တလင်း ကျေးရွာအုပ်စု,Kyet Sin Ta Lin Village Tract,kyet-sin-ta-lin-village-tract-0705211,0705211,0705211,,
0705287,ကျွဲထိုး ကျေးရွာအုပ်စု,Kywe Htoe Village Tract,kywe-htoe-village-tract-0705287,0705287,0705287,,
0705234,ကျွဲလမ်းချောင်း ကျေးရွာအုပ်စု,Kywe Lan Chaung Village Tract,kywe-lan-chaung-village-tract-0705234,0705234,0705234,,
0705235,လက်ဝဲမြန် ကျေးရွာအုပ်စု,Let Wea Myan Village Tract,let-wea-myan-village-tract-0705235,0705235,0705235,,
0705261,လက်ဝဲစာတိုက် ကျေးရွာအုပ်စု,Let Wea Sar Taik Village Tract,let-wea-sar-taik-village-tract-0705261,0705261,0705261,,
0705276,မကျည်းချောင်း ကျေးရွာအုပ်စု,Ma Gyi Chaung Village Tract,ma-gyi-chaung-village-tract-0705276,0705276,0705276,,
0705281,မက္ကလာကျ ကျေးရွာအုပ်စု,Met Ka Lar Kya Village Tract,met-ka-lar-kya-village-tract-0705281,0705281,0705281,,
0705243,မင်းဇီချောင်း ကျေးရွာအုပ်စု,Min Zi Chaung Village Tract,min-zi-chaung-village-tract-0705243,0705243,0705243,,
0705262,မိုးတိမ်ပြင် ကျေးရွာအုပ်စု,Moe Tein Pyin Village Tract,moe-tein-pyin-village-tract-0705262,0705262,0705262,,
0705254,မြက်သောက် ကျေးရွာအုပ်စု,Myet Thauk Village Tract,myet-thauk-village-tract-0705254,0705254,0705254,,
0705240,မြင်းကတ္တော ကျေးရွာအုပ်စု,Myin Kat Taw Village Tract,myin-kat-taw-village-tract-0705240,0705240,0705240,,
0705002,မြို့သစ် ရပ်ကွက်,Myo Thit Quarter,myo-thit-quarter-0705002,0705002,0705002,,
