id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
0229215,အောင်သာ ကျေးရွာအုပ်စု,Aung Thar Village Tract,aung-thar-village-tract-0229215,0229215,0229215,,
0229232,ဘောင်းကျ ကျေးရွာအုပ်စု,Baung Kya Village Tract,baung-kya-village-tract-0229232,0229232,0229232,,
0229212,ခြင်ပင် ကျေးရွာအုပ်စု,Chin Pin Village Tract,chin-pin-village-tract-0229212,0229212,0229212,,
0229222,ဒုံဒစ် ကျေးရွာအုပ်စု,Don Dit Village Tract,don-dit-village-tract-0229222,0229222,0229222,,
0229209,မှော်တော ကျေးရွာအုပ်စု,Hmaw Taw Village Tract,hmaw-taw-village-tract-0229209,0229209,0229209,,
0229211,ငှက်ပျောခြံ ကျေးရွာအုပ်စု,Hnget Pyaw Chan Village Tract,hnget-pyaw-chan-village-tract-0229211,0229211,0229211,,
0229237,ကိုင်း ကျေးရွာအုပ်စု,Kaing Village Tract,kaing-village-tract-0229237,0229237,0229237,,
0229201,ကမ်းဖြူ ကျေးရွာအုပ်စု,Kan Hpyu Village Tract,kan-hpyu-village-tract-0229201,0229201,0229201,,
0229200,ကန်သာ ကျေးရွာအုပ်စု,Kan Thar Village Tract,kan-thar-village-tract-0229200,0229200,0229200,,
0229229,ခင်သာ ကျေးရွာအုပ်စု,Khin Thar Village Tract,khin-thar-village-tract-0229229,0229229,0229229,,
0229203,ကျောက်ပျောက် ကျေးရွာအုပ်စု,Kyauk Pyauk Village Tract,kyauk-pyauk-village-tract-0229203,0229203,0229203,,
0229231,ကျွန်းတော ကျေးရွာအုပ်စု,Kyun Taw Village Tract,kyun-taw-village-tract-0229231,0229231,0229231,,
0229236,လိန်လှ ကျေးရွာအုပ်စု,Lein Hla Village Tract,lein-hla-village-tract-0229236,0229236,0229236,,
0229226,မကျီးကန် ကျေးရွာအုပ်စု,Ma Gyi Kan Village Tract,ma-gyi-kan-village-tract-0229226,0229226,0229226,,
0229219,မကျီးစောက် ကျေးရွာအုပ်စု,Ma Gyi Sauk Village Tract,ma-gyi-sauk-village-tract-0229219,0229219,0229219,,
0229206,မလဲသာ ကျေးရွာအုပ်စု,Ma Le Thar Village Tract,ma-le-thar-village-tract-0229206,0229206,0229206,,
0229217,မင်း ကျေးရွာအုပ်စု,Min Village Tract,min-village-tract-0229217,0229217,0229217,,
