id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
1403237,အစ်အစ် (ကရင်ပအော့) ကျေးရွာအုပ်စု,Ait Ait (Kayin Pa Awt) Village Tract,ait-ait-kayin-pa-awt-village-tract-1403237,1403237,1403237,,
1403233,အောက်သရက်ချောင်း ကျေးရွာအုပ်စု,Auk Tha Yet Chaung Village Tract,auk-tha-yet-chaung-village-tract-1403233,1403233,1403233,,
1403219,ချောင်းဝပြင် ကျေးရွာအုပ်စု,Chaung Wa Pyin Village Tract,chaung-wa-pyin-village-tract-1403219,1403219,1403219,,
1403213,အိမ်ရှေ့ပြင် ကျေးရွာအုပ်စု,Ein Shey Pyin Village Tract,ein-shey-pyin-village-tract-1403213,1403213,1403213,,
1403221,ဂုံညှင်းဆိပ် ကျေးရွာအုပ်စု,Gon Hnyin Seik Village Tract,gon-hnyin-seik-village-tract-1403221,1403221,1403221,,
1403223,ကမြိုင် ကျေးရွာအုပ်စု,Ka Myaing Village Tract,ka-myaing-village-tract-1403223,1403223,1403223,,
1403226,ကနက်သီရိ ကျေးရွာအုပ်စု,Ka Net Thi Ri Village Tract,ka-net-thi-ri-village-tract-1403226,1403226,1403226,,
1403232,ကညင်ချောင်း ကျေးရွာအုပ်စု,Ka Nyin Chaung Village Tract,ka-nyin-chaung-village-tract-1403232,1403232,1403232,,
1403231,ကတွဲ ကျေးရွာအုပ်စု,Ka Twe Village Tract,ka-twe-village-tract-1403231,1403231,1403231,,
1403200,ကဇိတံတားဦး ကျေးရွာအုပ်စု,Ka Zi Ta Dar U Village Tract,ka-zi-ta-dar-u-village-tract-1403200,1403200,1403200,,
1403229,ကရင်တောင်ပျောက် ကျေးရွာအုပ်စု,Kayin Taung Pyauk Village Tract,kayin-taung-pyauk-village-tract-1403229,1403229,1403229,,
1403209,ကင်းရှေ့ ကျေးရွာအုပ်စု,Kin Shey Village Tract,kin-shey-village-tract-1403209,1403209,1403209,,
1403208,ကြာအင်း ကျေးရွာအုပ်စု,Kyar Inn Village Tract,kyar-inn-village-tract-1403208,1403208,1403208,,
1403002,ကျောက်မြောင်း ရပ်ကွက်,Kyauk Myaung Quarter,kyauk-myaung-quarter-1403002,1403002,1403002,,
1403235,ကျောက်ဆည် ကျေးရွာအုပ်စု,Kyauk Se Village Tract,kyauk-se-village-tract-1403235,1403235,1403235,,
1403225,ကျွဲမင်းကုန်း ကျေးရွာအုပ်စု,Kywe Min Kone Village Tract,kywe-min-kone-village-tract-1403225,1403225,1403225,,
1403215,လဘ ကျေးရွာအုပ်စု,La Ba Village Tract,la-ba-village-tract-1403215,1403215,1403215,,
